Pay Grade/Step,Annual Salary,Class ,Title,Department,Employment Status,EEO Job Cat,EEO Job Cat Desc,Gender,Ethnic Code,Description,Year of Birth,Date Started,FLSA Exempt Y/N
PS0604,61860.46,07366,Police Sergeant,Police,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1980,07/16/2002,N
PS0406,52366.38,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,02,Black,1978,07/16/2002,N
PS0408,58679.5,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,07/16/2002,N
SR0900,46316.72,06673,Claims Rep 2,Law,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1949,07/16/2002,N
TG1102,40172.35,01880,Equip Mechanic,General Services,Full Time,7,Skilled Craft Workers,F,02,Black,1977,10/28/2013,N
SR0902,41149.36,06034,Program Coord,Parks,Full Time,2,Professionals,F,02,Black,1977,07/12/2002,Y
SR1008,54248.15,07244,Admin Svcs Officer 3,Sports Authority,Full Time,2,Professionals,F,02,Black,1976,07/08/2002,Y
SR0705,36672.57,10163,Service Rep 2,Water Services,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1969,07/08/2002,N
MAC02A,25231,10228,Food Svc Worker 1,Metro Action Commission,Full Time,8,Service Maintenance,M,02,Black,1960,07/18/2002,N
CA0100,22880,10672,Housekeeping-Convention Ctr,Convention Center Authority,Full Time,8,Service Maintenance,M,02,Black,1964,07/21/2014,N
TG0803,36349.64,06229,Treatment Plant Tech 1,Water Services,Full Time,7,Skilled Craft Workers,M,02,Black,1953,11/10/2012,N
TG064M,34830.74,07329,Maint & Repair Worker 3,Parks,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1963,08/01/2002,N
SR0500,33727.85,06641,Interpreter 1,Health,Full Time,5,Para-Professional,F,03,Hispanic,1977,07/22/2002,N
NS,38531.49,10339,Operations Supervisor,Office of Emergency Mgmt,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1974,07/16/2002,Y
SR0507,31133.89,04725,Property Guard 2,Public Library,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1976,08/16/2002,N
NS,33829.95,06696,Deputy Criminal Ct Clerk 7,Criminal Court Clerk,Full Time,6,Administrative Support,F,02,Black,1979,07/26/2002,N
MAC04,27729.36,10229,Food Svc Worker 2,Metro Action Commission,Full Time,8,Service Maintenance,F,02,Black,1954,07/29/2002,N
SR0905,45131.45,06034,Program Coord,Sheriff,Full Time,2,Professionals,M,02,Black,1980,02/05/2007,N
SR1300,68409.37,07234,Information Systems Advisor 1,Information Technology Service,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1973,08/01/2002,Y
SR0700,42067.32,10330,Security Guard - Health,Health,Full Time,4,Protective Service Workers,M,02,Black,1965,08/01/2002,N
SR105M,51345.77,07733,Compliance Inspector 3,Public Works,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1968,08/01/2002,N
SR0807,43145.2,07375,Probation Officer 1,Juvenile Court,Full Time,2,Professionals,F,02,Black,1958,08/01/2002,N
TS1203,56345.34,05973,Fire Maint Supv,Fire,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1976,08/01/2002,Y
SR0705,36672.57,10123,Office Support Spec 1,Fire,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1951,08/01/2002,N
PS0506,57843.23,02534,Fire Inspector 2,Fire,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1968,08/16/2002,N
SR0808,44343.57,10124,Office Support Spec 2,Election Commission,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1961,08/05/2002,N
SR0506,30269.23,07767,Circulation Asst 2,Public Library,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1955,08/16/2002,N
SR1300,70087.58,07295,Engineer 2,Water Services,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1974,08/01/2002,Y
SR0506,30269.23,06311,Homemaker,Social Services,Full Time,5,Para-Professional,F,02,Black,1974,01/09/2006,N
MAC11A,55000,10212,Center Mgr 2,Metro Action Commission,Full Time,2,Professionals,F,02,Black,1967,08/12/2002,Y
SR0907,47786.18,10649,Treatment Counselor,Sheriff,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1958,01/01/2005,N
NS,35355.31,06789,Deputy Clerk 3,County Clerk,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1977,08/02/2002,N
SR1300,75973.21,07234,Information Systems Advisor 1,Fire,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1979,08/16/2002,Y
SR1006,51316.22,07323,Librarian 2,Public Library,Full Time,2,Professionals,F,02,Black,1975,08/16/2002,Y
CO0109,40988.37,06982,Correctional Officer 1,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,08/16/2002,N
SR0702,33435.72,10614,Security Officer 2,Sheriff,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,08/01/2008,N
SR0907,47786.18,10579,Sheriff Releasing Officer,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1965,08/16/2002,N
TG0805,39086.61,07303,Equip Operator 3,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1969,09/01/2002,N
TG063M,33549.34,07329,Maint & Repair Worker 3,Public Works,Full Time,8,Service Maintenance,M,02,Black,1982,09/01/2002,N
NS,12480,09020,Seasonal/Part-time/Temporary,Codes Administration,Seasonal,6,Administrative Support,F,02,Black,1976,03/02/2015,N
SR1300,68680.14,07242,Admin Svcs Mgr,State Trial Courts,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1978,03/10/2003,Y
HD0300,39870.67,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,02,Black,1957,08/26/2002,N
SR1300,65377.35,07346,Human Resources Admin,Human Resources,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1976,12/28/2012,Y
SR1300,81620.75,10129,Planning Mgr 1,Planning Commission,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1973,08/26/2002,Y
PS0507,59495.77,07344,Paramedic 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1979,08/16/2002,N
PS0508,64817.21,10112,Fire Fighter/Paramedic,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1971,08/16/2002,N
PS0507,59495.77,10112,Fire Fighter/Paramedic,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1972,08/16/2002,N
PS0410,58349.65,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1974,08/16/2002,N
SR1103,51665.92,07376,Program Mgr 1,Metropolitan Clerk,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1955,09/01/2002,Y
HD0300,58944.57,10758,Public Health Nurse 1,Health,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1960,08/28/2002,N
SR0607,34835.58,04630,Library Assoc 1,Public Library,Full Time,5,Para-Professional,M,01,White (Not of Hispanic Origin),1964,09/01/2002,N
TL0904,43542.66,10168,Water Maint Leader 2,Water Services,Full Time,8,Service Maintenance,M,02,Black,1960,08/19/2002,N
TG0703,34494.84,06827,Equip Operator 2,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1980,09/01/2002,N
MAC02A,25231,10216,Custodian,Metro Action Commission,Full Time,8,Service Maintenance,F,02,Black,1974,03/19/2012,N
PS0404,50855.99,07356,Police Officer 2,Police,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1982,09/01/2002,N
SR1000,57180.08,01463,Dental Hygienist 1,Health,Full Time,2,Professionals,F,04,Asian or Pacific Islander,1958,08/30/2002,Y
SR1400,88885.81,06232,Finance Mgr,Finance,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1955,09/01/2002,Y
TG1104,43452.19,04930,Signal Tech 2,Public Works,Full Time,3,Technicians,M,02,Black,1953,09/16/2002,N
JS0200,51477.95,07790,Judicial Asst 1,State Trial Courts,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1933,09/01/2002,Y
SR0905,22001.77,10638,Sheriff Education Coord,Sheriff,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1939,11/15/2009,N
MAC01A,23928.47,10250,Teacher Asst,Metro Action Commission,Full Time,6,Administrative Support,F,02,Black,1954,09/09/2002,N
SR1400,97869.44,06606,Engineer 3,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1974,09/09/2002,Y
SR1300,71261.64,07242,Admin Svcs Mgr,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1964,09/01/2002,Y
SR1500,134473.01,10398,Chief of Administration,Sheriff,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1964,09/01/2002,Y
SR1200,59326.44,03072,Medical Admin Asst 1,Health,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1972,12/30/2002,Y
NS,42740.51,07955,Career Coach-NCAC,NCAC,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1952,08/29/2002,N
NS,37315.46,06505,Deputy Criminal Ct Clerk 4,Criminal Court Clerk,Full Time,6,Administrative Support,F,02,Black,1984,09/12/2002,N
SR094M,45118.21,07732,Compliance Inspector 2,Public Works,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1977,09/16/2002,N
SR0800,37896.46,06631,Food Inspector 1,Health,Full Time,1,Officials and Administrators,F,02,Black,1987,03/31/2012,N
SR1001,43986.4,07323,Librarian 2,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1979,09/20/2010,Y
SR0800,45173.88,10336,Records Management Analyst,Health,Full Time,2,Professionals,F,02,Black,1963,09/16/2002,N
HD0300,41584.53,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1957,09/16/2002,N
SR0606,33867.51,10122,Office Support Rep 3,Assessor of Property,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1955,09/16/2002,N
SR0900,44319.32,10479,Information Sys Oper Tech 2,Information Technology Service,Full Time,3,Technicians,F,02,Black,1978,09/16/2002,N
TG1104,43452.19,04930,Signal Tech 2,Public Works,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1975,10/01/2002,N
JS0300,57896.01,07791,Judicial Asst 2,State Trial Courts,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1962,10/01/2002,Y
SR0503,27675.28,06085,Concessions Clerk 2,Parks,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1956,05/16/2006,N
SR0705,27504.36,06880,Recreation Leader,Parks,Part Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1958,10/01/2002,N
SR0705,36672.57,10123,Office Support Spec 1,Water Services,Full Time,6,Administrative Support,F,02,Black,1975,10/18/2008,N
SR0903,42476.72,10103,Application Tech 3,Finance,Full Time,3,Technicians,M,02,Black,1964,03/03/2003,N
SR0603,30963.3,10122,Office Support Rep 3,Codes Administration,Full Time,6,Administrative Support,F,04,Asian or Pacific Islander,1960,08/22/2011,N
SR0905,45131.45,06034,Program Coord,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1959,10/01/2002,N
SR0706,37751.52,02901,Library Assoc 2,Public Library,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1979,09/30/2002,N
SR1008,54248.15,06123,Historic Preservationist 1,Historical Commission,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1967,10/01/2002,Y
NS,5188.98,09020,Seasonal/Part-time/Temporary,Trustee,Seasonal,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1980,10/29/2014,N
SR0703,34514.67,10123,Office Support Spec 1,Sheriff,Full Time,6,Administrative Support,F,02,Black,1977,10/01/2002,N
HD0300,41850.89,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,02,Black,1967,09/30/2002,N
HD0300,41850.89,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1979,09/30/2002,N
TG065M,36182.04,07329,Maint & Repair Worker 3,Parks,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1970,10/01/2002,N
TG1104,43452.19,06186,Treatment Plant Tech 2,Water Services,Full Time,7,Skilled Craft Workers,M,02,Black,1974,10/01/2002,N
NS,31108,06788,Deputy Clerk 2,County Clerk,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1958,09/23/2002,N
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1968,10/02/2002,N
SR1400,110404.23,10744,Health Manager 3,Health,Full Time,2,Professionals,M,02,Black,1966,10/01/2002,Y
HD0500,69480.18,10760,Public Health Nurse 3,Health,Full Time,2,Professionals,F,02,Black,1964,09/30/2009,Y
NS,50400,,.,Circuit Court Satellite,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1962,09/01/2014,N
HD0700,78712.64,10761,Public Health Nurse 4,Health,Full Time,1,Officials and Administrators,F,04,Asian or Pacific Islander,1978,10/07/2002,Y
SR0600,36882.93,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,M,02,Black,1962,10/07/2002,N
SR1004,48382.88,07380,Program Spec 3,Parks,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1976,09/27/2002,Y
RP1005,16473.6,09102,Part Time Worker 3,Parks,Part Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1984,09/27/2002,N
SR1500,92354,04674,Attorney 3,Law,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1971,02/05/2007,Y
NS,27912.5,06787,Deputy Clerk 1,County Clerk,Full Time,6,Administrative Support,M,02,Black,1950,05/07/2012,N
SR0808,44343.56,10473,Information Sys Media Tech 1,Information Technology Service,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1953,10/16/2002,N
SR0607,26126.88,07378,Program Spec 1,Public Library,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1978,10/16/2002,N
SR0805,40748.48,10745,WO Orders of Prot/Dis Op-DCSO,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1964,10/16/2002,N
TS0905,54581.01,06188,Treatment Plant Shift Operator,Water Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1953,10/21/2002,N
TG035M,29122.69,02799,Maint & Repair Worker 1,Public Works,Full Time,8,Service Maintenance,M,03,Hispanic,1948,10/16/2002,N
SR0703,34514.67,07365,Police Operations Coord 1,Police,Full Time,6,Administrative Support,M,02,Black,1983,07/01/2005,N
SR1300,77407.72,07242,Admin Svcs Mgr,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1951,07/01/2009,Y
PS0503,56058.74,02534,Fire Inspector 2,Fire,Full Time,1,Officials and Administrators,M,02,Black,1977,10/16/2002,N
ET0405,49850.26,10410,Emer Telecommunications Off 4,Emergency Communication Center,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1976,10/16/2002,N
PS0403,47878.93,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1979,08/01/2010,N
SR0805,40748.48,10102,Application Tech 2,Finance,Full Time,3,Technicians,F,02,Black,1962,11/01/2002,N
ET0405,49850.26,10410,Emer Telecommunications Off 4,Emergency Communication Center,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1971,10/16/2002,N
TL0703,37797.3,07325,Maint & Repair Leader 1,Public Works,Full Time,8,Service Maintenance,M,02,Black,1981,11/01/2002,N
SR1300,65127.16,04855,Library Mgr 3,Public Library,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1977,01/29/2007,Y
SR1006,51316.22,07323,Librarian 2,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1978,11/01/2002,Y
SR1200,56005.17,00480,Attorney 1,Law,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1987,10/25/2012,Y
NS,14111.72,10123,Office Support Spec 1,General Sessions Court,Part Time,6,Administrative Support,F,03,Hispanic,1973,11/01/2002,N
SR0800,41068.25,10473,Information Sys Media Tech 1,Information Technology Service,Full Time,2,Professionals,M,02,Black,1973,11/01/2002,N
SR1400,77015.8,06606,Engineer 3,Public Works,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1969,11/01/2002,Y
SR1300,69523.23,10108,Finance Admin,Finance,Full Time,1,Officials and Administrators,F,02,Black,1973,11/01/2002,Y
TL0903,41936.67,10168,Water Maint Leader 2,Water Services,Full Time,8,Service Maintenance,M,02,Black,1971,11/01/2002,N
SR1109,61350.88,07376,Program Mgr 1,Sheriff,Full Time,2,Professionals,F,03,Hispanic,1955,11/06/2002,Y
SR1400,83137.77,07318,Info Systems Div Mgr,Information Technology Service,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1965,11/11/2002,Y
SR1400,77014.95,06606,Engineer 3,Public Works,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1951,11/01/2002,Y
MAC05A,29535.1,10210,Bus Driver,Metro Action Commission,Full Time,8,Service Maintenance,M,02,Black,1962,11/11/2002,N
TG035M,29122.69,02799,Maint & Repair Worker 1,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1981,11/16/2002,N
SR0507,31133.89,06311,Homemaker,Social Services,Full Time,5,Para-Professional,F,01,White (Not of Hispanic Origin),1958,11/16/2002,N
SR0905,45131.45,07260,Social Worker 2,District Attorney,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1979,11/18/2002,Y
SR0705,36672.57,10163,Service Rep 2,Water Services,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1971,11/25/2002,N
SR1400,75877.64,07734,Contract Admin,Social Services,Full Time,2,Professionals,M,02,Black,1956,12/01/2002,Y
SR0600,35483.35,07378,Program Spec 1,Health,Full Time,2,Professionals,F,03,Hispanic,1961,02/16/2003,N
SR1105,54894.24,10459,Combination Codes Inspector,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1950,12/01/2002,N
SR0907,47786.18,06922,Property Stan Insp 1,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1971,12/01/2002,N
CM00,15000,01334,Council Member,Metropolitan Council,Elected,0,Elected Officials,M,01,White (Not of Hispanic Origin),1951,11/16/2002,Y
SR1100,52554.35,07753,Professional Spec,General Services,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1982,11/16/2002,Y
HD0300,39475.91,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,02,Black,1954,12/01/2002,N
HD0300,39179.03,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,02,Black,1958,12/01/2002,N
TG035M,29122.69,02799,Maint & Repair Worker 1,Public Works,Full Time,8,Service Maintenance,M,02,Black,1962,12/01/2002,N
TL0705,40896.18,07325,Maint & Repair Leader 1,Public Works,Full Time,8,Service Maintenance,M,02,Black,1978,12/16/2002,N
TG064M,34830.74,07329,Maint & Repair Worker 3,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1958,12/01/2002,N
PS0402,47774.61,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,F,02,Black,1983,11/16/2002,N
ET0405,49850.26,10410,Emer Telecommunications Off 4,Emergency Communication Center,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1976,09/10/2007,N
ET0405,49850.26,10410,Emer Telecommunications Off 4,Emergency Communication Center,Full Time,6,Administrative Support,F,02,Black,1977,12/01/2002,N
SR1200,68689.53,03072,Medical Admin Asst 1,Health,Full Time,2,Professionals,F,02,Black,1953,12/09/2002,Y
SR0905,45131.45,07241,Admin Asst,Finance,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1971,12/01/2002,N
SR1200,53218.92,07245,Admin Svcs Officer 4,Farmer's Market,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1961,03/17/2014,Y
TG1102,40172.35,06186,Treatment Plant Tech 2,Water Services,Full Time,7,Skilled Craft Workers,M,02,Black,1982,12/05/2002,N
SR0510,33727.85,10121,Office Support Rep 2,Water Services,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1969,12/01/2002,N
SR1200,56184.64,06874,Human Resources Analyst 3,Human Resources,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1942,01/01/2003,Y
TG0803,36349.64,07303,Equip Operator 3,Public Works,Full Time,8,Service Maintenance,M,02,Black,1964,12/16/2002,N
SR1200,61045.64,07245,Admin Svcs Officer 4,General Services,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1969,12/16/2002,Y
SR0807,43145.2,07375,Probation Officer 1,Juvenile Court,Full Time,2,Professionals,M,02,Black,1975,01/16/2003,N
SR0800,48142.48,06567,Commun Disease Investigator,Health,Full Time,2,Professionals,F,02,Black,1971,12/30/2002,N
SR0406,26967.35,10120,Office Support Rep 1,Juvenile Court Clerk,Full Time,6,Administrative Support,M,01,White (Not of Hispanic Origin),1970,12/16/2002,N
MAC11A,50419.19,10212,Center Mgr 2,Metro Action Commission,Full Time,2,Professionals,M,02,Black,1976,01/26/2015,N
TL1104,47908.24,07802,Treatment Plant Tech 3,Water Services,Full Time,7,Skilled Craft Workers,F,02,Black,1964,12/30/2002,N
SR0907,47786.18,06910,Mech/Gas Inspector 1,Codes Administration,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1944,01/01/2003,N
SR0902,41149.36,10103,Application Tech 3,Water Services,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1981,01/01/2003,N
PS0402,46383.12,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,03,Hispanic,1981,01/01/2003,N
TL0903,41936.67,10168,Water Maint Leader 2,Water Services,Full Time,8,Service Maintenance,M,02,Black,1973,12/30/2002,N
MAC07C,35911.2,10227,Family Svcs Spec 2,Metro Action Commission,Full Time,5,Para-Professional,F,03,Hispanic,1955,01/06/2003,N
SR1107,58122.56,07793,Library Mgr 1,Public Library,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1956,01/16/2003,Y
PS0408,55358.02,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,M,02,Black,1970,01/01/2003,N
SR0907,47786.18,07241,Admin Asst,Social Services,Full Time,6,Administrative Support,F,02,Black,1961,01/06/2003,N
PS0506,57843.23,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1957,01/01/2003,N
PS0410,58349.65,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1972,01/01/2003,N
PS0506,57843.23,07344,Paramedic 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1981,01/01/2003,N
PS0506,59578.53,07344,Paramedic 2,Fire,Full Time,3,Technicians,F,01,White (Not of Hispanic Origin),1980,01/01/2003,N
PS0410,58349.65,07309,Fire Fighter 2,Fire,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1975,01/01/2003,N
PS0408,58679.5,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1979,01/01/2003,N
TG0804,37706.81,07303,Equip Operator 3,Water Services,Full Time,8,Service Maintenance,M,02,Black,1974,03/30/2013,N
SR0805,40748.48,10748,Laundry Officer-DCSO,Sheriff,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1981,01/16/2003,N
SR076M,38884.07,07738,Cust Svc Field Rep 3,Water Services,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1958,01/16/2003,N
SR1300,73732.18,10743,Health Manager 2,Health,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1958,08/20/2007,Y
SR1103,51665.92,07756,Technical Specialist 1,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1977,01/16/2003,Y
PS0405,50870.57,01818,Emerg Medical Tech 2,Fire,Full Time,3,Technicians,M,01,White (Not of Hispanic Origin),1956,01/16/2003,N
SR0607,34835.58,10122,Office Support Rep 3,Fire,Full Time,6,Administrative Support,F,02,Black,1965,01/16/2003,N
SR1300,82777.13,07234,Information Systems Advisor 1,Information Technology Service,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1966,02/01/2003,Y
SP0103,8763.3,03445,School Crossing Guard,Police,Part Time,4,Protective Service Workers,F,01,White (Not of Hispanic Origin),1969,01/28/2003,N
SR1400,93176.05,10560,Statistical Research Analyst 2,Criminal Justice Planning Unit,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1959,01/16/2003,Y
SR0907,47786.18,07279,Criminal Investigator,Public Defender,Full Time,4,Protective Service Workers,M,01,White (Not of Hispanic Origin),1973,01/16/2003,N
SR0410,30050.67,10120,Office Support Rep 1,Juvenile Court Clerk,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1953,01/20/2003,N
SR0606,33867.51,10122,Office Support Rep 3,Juvenile Court,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1956,01/27/2003,N
SR1100,51052.8,07753,Professional Spec,Health,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1973,10/01/2004,Y
TG065M,36182.04,10166,Water Maint Tech 3,Water Services,Full Time,8,Service Maintenance,M,02,Black,1969,02/01/2003,N
NS,29950.54,10309,Operations Officer,Office of Emergency Mgmt,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1982,02/01/2003,N
SR1400,76998.99,06606,Engineer 3,Water Services,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1976,02/01/2003,Y
NS,9880,09020,Seasonal/Part-time/Temporary,State Trial Courts,Part Time,8,Service Maintenance,F,02,Black,1958,02/16/2003,N
SR1007,52782.19,07381,Program Supv,Sheriff,Full Time,2,Professionals,F,01,White (Not of Hispanic Origin),1971,02/16/2003,Y
TG0805,39087.36,07303,Equip Operator 3,Public Works,Full Time,8,Service Maintenance,M,01,White (Not of Hispanic Origin),1963,02/16/2003,N
SR1400,91694.3,07734,Contract Admin,Public Works,Full Time,2,Professionals,M,02,Black,1959,02/01/2003,Y
SR1500,101214.33,10469,General Services Assistant Dir,General Services,Full Time,1,Officials and Administrators,F,01,White (Not of Hispanic Origin),1966,02/01/2003,Y
TG1105,44990.31,06081,Automotive Mechanic-Cert,General Services,Full Time,7,Skilled Craft Workers,M,01,White (Not of Hispanic Origin),1972,02/01/2003,N
SR1200,65063.77,07245,Admin Svcs Officer 4,Finance,Full Time,2,Professionals,M,01,White (Not of Hispanic Origin),1953,02/04/2003,N
SR1200,65888.44,07757,Technical Specialist 2,General Services,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1952,02/01/2003,Y
HD0300,39449.81,10758,Public Health Nurse 1,Health,Part Time,2,Professionals,F,01,White (Not of Hispanic Origin),1979,02/18/2003,N
SR1000,48563.09,07380,Program Spec 3,Health,Full Time,2,Professionals,F,02,Black,1967,07/16/2003,N
SR1300,65058.44,07234,Information Systems Advisor 1,Social Services,Full Time,1,Officials and Administrators,M,02,Black,1964,03/01/2003,Y
SR0900,51244.19,06632,Food Inspector 2,Health,Full Time,1,Officials and Administrators,M,01,White (Not of Hispanic Origin),1971,02/24/2003,N
SR0600,31862.05,10122,Office Support Rep 3,Health,Full Time,6,Administrative Support,F,04,Asian or Pacific Islander,1974,03/01/2003,N
SR0804,39550.12,07364,Police Operations Coord 2,Police,Full Time,6,Administrative Support,F,01,White (Not of Hispanic Origin),1962,03/01/2003,N
