|Department|Title|Pay Grade|Annual Salary|Ethnic Code|Description|Gender|Year of Birth|EEO Job description
3953|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3954|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3955|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|F|1987|Protective Service Workers
3956|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3957|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
3958|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3959|Police|Police Officer 1|PS03|42,532.99|02|Black|M|1986|Protective Service Workers
3962|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|F|1989|Protective Service Workers
3963|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
3964|Police|Police Officer 1|PS03|42,532.99|04|Asian or Pacific Islander|M|1987|Protective Service Workers
3965|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1978|Protective Service Workers
3967|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3968|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1977|Protective Service Workers
3970|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1978|Protective Service Workers
3971|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1972|Protective Service Workers
3972|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3973|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
3974|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3975|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1972|Protective Service Workers
3976|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3977|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3978|Police|Police Officer 1|PS03|42,532.99|02|Black|F|1986|Protective Service Workers
3979|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3980|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3981|Police|Police Officer 1|PS03|41,329.23|01|White (Not of Hispanic Origin)|M|1978|Protective Service Workers
3982|Police|Police Officer 1|PS03|40,125.47|03|Hispanic|M|1983|Protective Service Workers
3983|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
4025|Police|Police Officer 1|PS03|40,125.47|02|Black|M|1977|Protective Service Workers
4026|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
4027|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
4028|Police|Police Officer 1|PS03|41,329.24|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
4036|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|F|1984|Protective Service Workers
4037|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
4038|Police|Police Officer 1|PS03|40,125.47|03|Hispanic|M|1974|Protective Service Workers
4039|Police|Police Officer 1|PS03|42,532.99|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
4040|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
4041|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
4042|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
4043|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
4045|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
4046|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
4047|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
4048|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
4049|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1979|Protective Service Workers
4050|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
4429|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|M|1969|Protective Service Workers
4703|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1962|Protective Service Workers
5322|Police|Police Officer 1|PS03|42,533.00|01|White (Not of Hispanic Origin)|F|1983|Protective Service Workers
5964|Police|Police Officer 1|PS03|40,125.47|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3751|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
3752|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
3753|Police|Police Officer 2|PS04|44,442.87|03|Hispanic|F|1986|Protective Service Workers
3754|Police|Police Officer 2|PS04|44,442.87|03|Hispanic|M|1989|Protective Service Workers
3755|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3756|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3757|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
3758|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3759|Police|Police Officer 2|PS04|44,442.87|02|Black|M|1980|Protective Service Workers
3760|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3761|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3762|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3763|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3764|Police|Police Officer 2|PS04|44,442.87|03|Hispanic|M|1986|Protective Service Workers
3765|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1971|Protective Service Workers
3766|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3767|Police|Police Officer 2|PS04|44,442.87|02|Black|M|1986|Protective Service Workers
3768|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3769|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
3770|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
3771|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3772|Police|Police Officer 2|PS04|47,109.44|03|Hispanic|M|1983|Protective Service Workers
3773|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3774|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3775|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3776|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
3777|Police|Police Officer 2|PS04|44,442.87|04|Asian or Pacific Islander|M|1986|Protective Service Workers
3778|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1965|Protective Service Workers
3779|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1976|Protective Service Workers
3780|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3781|Police|Police Officer 2|PS04|47,109.44|04|Asian or Pacific Islander|M|1988|Protective Service Workers
3782|Police|Police Officer 2|PS04|47,109.44|02|Black|F|1974|Protective Service Workers
3783|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1965|Protective Service Workers
3784|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3785|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3786|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1988|Protective Service Workers
3787|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3788|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3789|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1976|Protective Service Workers
3790|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|F|1984|Protective Service Workers
3791|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3792|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3793|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1987|Protective Service Workers
3794|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3795|Police|Police Officer 2|PS04|45,776.16|02|Black|M|1986|Protective Service Workers
3796|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1968|Protective Service Workers
3797|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3798|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1989|Protective Service Workers
3799|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3800|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1970|Protective Service Workers
3801|Police|Police Officer 2|PS04|44,442.87|02|Black|M|1990|Protective Service Workers
3802|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3803|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3804|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3805|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1989|Protective Service Workers
3806|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1968|Protective Service Workers
3807|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
3808|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|F|1984|Protective Service Workers
3809|Police|Police Officer 2|PS04|44,442.87|03|Hispanic|M|1986|Protective Service Workers
3810|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
3811|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1983|Protective Service Workers
3812|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3813|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3814|Police|Police Officer 2|PS04|45,776.16|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
3815|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3816|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1988|Protective Service Workers
3817|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1987|Protective Service Workers
3868|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
3869|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3870|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3871|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3872|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3873|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3874|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|F|1984|Protective Service Workers
3875|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3877|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3878|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1984|Protective Service Workers
3879|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3880|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3881|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
3883|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3884|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
3885|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3886|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3887|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3888|Police|Police Officer 2|PS04|45,776.15|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
3889|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
3890|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3891|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3892|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
3893|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1979|Protective Service Workers
3911|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3913|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1990|Protective Service Workers
3914|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3915|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3916|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1982|Protective Service Workers
3917|Police|Police Officer 2|PS04|45,776.15|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
3918|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1989|Protective Service Workers
3919|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
3920|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
3921|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
3922|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
3923|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
3924|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3927|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
3928|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
3929|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
3930|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
3931|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1991|Protective Service Workers
4848|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
4938|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
5069|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
5294|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
5651|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5674|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
5790|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5823|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5956|Police|Police Officer 2|PS04|47,109.44|02|Black|M|1985|Protective Service Workers
5971|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|F|1988|Protective Service Workers
5993|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
6002|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
6040|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
6041|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
6077|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
6084|Police|Police Officer 2|PS04|44,442.87|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6121|Police|Police Officer 2|PS04|47,109.44|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
4576|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1969|Protective Service Workers
4995|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1983|Protective Service Workers
5072|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1985|Protective Service Workers
5075|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5134|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
5235|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5243|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|F|1982|Protective Service Workers
5291|Police|Police Officer 2|PS04|48,679.31|03|Hispanic|M|1979|Protective Service Workers
5392|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1985|Protective Service Workers
5520|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1975|Protective Service Workers
5546|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
5557|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
5588|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1975|Protective Service Workers
5599|Police|Police Officer 2|PS04|48,679.31|03|Hispanic|M|1978|Protective Service Workers
5616|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
5634|Police|Police Officer 2|PS04|45,923.88|02|Black|M|1981|Protective Service Workers
5675|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
5684|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1979|Protective Service Workers
5713|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5716|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
5721|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
5734|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5742|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5754|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1969|Protective Service Workers
5757|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5763|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1980|Protective Service Workers
5764|Police|Police Officer 2|PS04|47,959.91|01|White (Not of Hispanic Origin)|M|1973|Protective Service Workers
5766|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1977|Protective Service Workers
5768|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
5774|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1976|Protective Service Workers
5776|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5782|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1983|Protective Service Workers
5789|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5795|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1982|Protective Service Workers
5818|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
5824|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1978|Protective Service Workers
5864|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1981|Protective Service Workers
5870|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
5876|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5877|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
5935|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
5945|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
5947|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5951|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5957|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1986|Protective Service Workers
5960|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
5962|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5967|Police|Police Officer 2|PS04|48,679.31|02|Black|M|1990|Protective Service Workers
5968|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5969|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|F|1987|Protective Service Workers
5988|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
5995|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5997|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1990|Protective Service Workers
5998|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
5999|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6008|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
6009|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
6010|Police|Police Officer 2|PS04|45,924.32|01|White (Not of Hispanic Origin)|M|1972|Protective Service Workers
6011|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6012|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6013|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
6014|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1976|Protective Service Workers
6015|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
6016|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6017|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
6018|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1985|Protective Service Workers
6019|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6020|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
6021|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6022|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1965|Protective Service Workers
6023|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6024|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
6025|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1975|Protective Service Workers
6026|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
6027|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1983|Protective Service Workers
6028|Police|Police Officer 2|PS04|47,301.60|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6029|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1989|Protective Service Workers
6030|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6031|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1984|Protective Service Workers
6032|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1988|Protective Service Workers
6034|Police|Police Officer 2|PS04|48,679.31|01|White (Not of Hispanic Origin)|M|1987|Protective Service Workers
6035|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1970|Protective Service Workers
6036|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1971|Protective Service Workers
6037|Police|Police Officer 2|PS04|45,923.88|01|White (Not of Hispanic Origin)|M|1986|Protective Service Workers
6038|Police|Police Officer 2|PS04|47,301.60|02|Black|M|1988|Protective Service Workers
